,H,d_c
0,0.0,104.0
0,0.061282471972358483,108.0
0,0.08016930291250964,120.0
0,0.1877371122904332,125.0
0,0.23283529363204777,127.0
0,0.2686320721925283,129.0
0,0.3417993899634113,131.0
0,0.41819040592602835,133.0
0,0.4812045672567182,135.0
0,0.5389568058675931,137.0
0,0.6392251928530206,139.0
0,0.7299428997633026,141.0
0,0.7753187547883917,143.0
0,0.8658656642906871,145.0
0,0.9476523871323422,147.0
0,1.0570924450460575,149.0
0,1.0965862638731874,151.0
0,1.1752914351170405,153.0
0,1.2660907792709788,155.0
0,1.4213772885263916,157.0
0,1.5416577879571467,159.0
0,1.6289158086841102,161.0
0,1.7324265480072156,163.0
0,1.844557242188059,165.0
0,1.9440155518638926,167.0
0,2.0494560581114913,169.0
0,2.1500792319712954,171.0
0,2.2773166112686147,173.0
0,2.3474598076457664,175.0
0,2.4346860783007513,177.0
0,2.5615188407879095,179.0
0,2.6518885119788775,181.0
0,2.7684392473272705,183.0
0,2.881104005981709,185.0
0,2.982597218505258,187.0
0,3.0693283411399546,189.0
0,3.1670514898169326,191.0
0,3.2818529135128602,193.0
0,3.3934414860030766,195.0
0,3.505838566757783,197.0
0,3.6002474193789316,199.0
0,3.7851970220164337,201.0
0,3.8747845755450925,203.0
0,4.023428267154025,205.0
0,4.165368321830496,207.0
0,4.340588494079582,209.0
0,4.493528119784069,211.0
0,4.628433384731477,213.0
0,4.798204149446217,215.0
0,4.968269294497477,217.0
0,5.107543143884316,219.0
0,5.290507792537809,221.0
0,5.446175705970376,223.0
0,5.611308934698689,225.0
0,5.7755231314354125,227.0
0,5.9553661517713214,229.0
0,6.108121833311131,231.0
0,6.267183263932553,233.0
0,6.385527290435377,235.0
0,6.538078622268997,237.0
0,6.698071673072115,239.0
0,6.823149471963697,241.0
0,7.016872544086096,243.0
0,7.08770537526112,245.0
0,7.220212542373343,247.0
0,7.335979408298782,249.0
0,7.451705125650616,251.0
0,7.560226836047513,253.0
0,7.607196511229405,255.0
0,7.714017835691139,257.0
0,7.748196694244345,259.0
0,7.860736703941269,261.0
0,7.9162979876579564,263.0
0,7.967362992030018,265.0
0,7.918442880024206,267.0
0,8.001524683264304,269.0
0,8.030550734228857,271.0
0,8.04839852029987,273.0
0,8.140498598037551,275.0
0,8.129927512376076,277.0
0,8.007213736809147,279.0
0,8.017703501523359,281.0
0,8.035600041976785,283.0
0,8.000404027592694,285.0
0,7.959710266685962,287.0
0,7.928045859548808,289.0
0,7.798783332839754,291.0
0,7.728266509373872,293.0
0,7.733868449236091,295.0
0,7.66635661202278,297.0
0,7.5391658663345344,299.0
0,7.4921694126708385,301.0
0,7.381644591943615,303.0
0,7.243851871035651,305.0
0,7.117603474353715,307.0
0,6.912624559914151,309.0
0,6.847291877111079,311.0
0,6.700558037790848,313.0
0,6.577915466343946,315.0
0,6.364118183281766,317.0
0,6.254587212051375,319.0
0,6.071408880582692,321.0
0,5.955818260454315,323.0
0,5.76183706966959,325.0
0,5.616578488564023,327.0
0,5.455973185080026,329.0
0,5.286986303483287,331.0
0,5.1255944413933054,333.0
0,4.909712694046665,335.0
0,4.7009212383693715,337.0
0,4.576076167171945,339.0
0,4.340785412991892,341.0
0,4.170584416199412,343.0
0,3.990258761119198,345.0
0,3.8109205168995337,347.0
0,3.647689310189545,349.0
0,3.420907999771422,351.0
0,3.1759184391061557,353.0
0,2.958697746611506,355.0
0,2.7250673364023963,357.0
0,2.478119578497407,359.0
0,2.2035759078029007,361.0
0,1.942414208581275,363.0
0,1.7340852652302137,365.0
0,1.5241501315586587,367.0
0,1.2586113570639157,369.0
0,1.0453502697593589,371.0
0,0.8544610940369927,373.0
0,0.6463495776436032,375.0
0,0.565488214473486,377.0
0,0.47570564332192117,379.0
0,0.3988967389512952,381.0
0,0.2791105596200148,383.0
0,0.2450195499660797,385.0
0,0.1751176052766572,387.0
0,0.09547365774517039,390.0
0,0.08561717294315441,392.0
